taxon_species,taxon_class,taxon_genus,taxon_family,taxon_order,Adult mass (g),Maximum longevity (years)
Jaculus jaculus,Mammalia,Jaculus,Dipodidae,Rodentia,55,7.3
Jaculus orientalis,Mammalia,Jaculus,Dipodidae,Rodentia,134,5.5
Zapus hudsonius,Mammalia,Zapus,Dipodidae,Rodentia,18,5.6
Hoplomys gymnurus,Mammalia,Hoplomys,Echimyidae,Rodentia,504,7
Proechimys brevicauda,Mammalia,Proechimys,Echimyidae,Rodentia,285,6.8
Proechimys semispinosus,Mammalia,Proechimys,Echimyidae,Rodentia,500,5.8
Thrichomys apereoides,Mammalia,Thrichomys,Echimyidae,Rodentia,373.5,7
Coendou prehensilis,Mammalia,Coendou,Erethizontidae,Rodentia,3900,26.6
Geomys bursarius,Mammalia,Geomys,Geomyidae,Rodentia,176.7,12
Thomomys bottae,Mammalia,Thomomys,Geomyidae,Rodentia,115.5,6.1
Dryomys nitedula,Mammalia,Dryomys,Gliridae,Rodentia,26,4.1
Eliomys melanurus,Mammalia,Eliomys,Gliridae,Rodentia,122.5,6.2
Eliomys quercinus,Mammalia,Eliomys,Gliridae,Rodentia,82.5,5.5
Glirulus japonicus,Mammalia,Glirulus,Gliridae,Rodentia,27,7
Glis glis,Mammalia,Glis,Gliridae,Rodentia,125,8.7
Graphiurus murinus,Mammalia,Graphiurus,Gliridae,Rodentia,24,6.9
Graphiurus platyops,Mammalia,Graphiurus,Gliridae,Rodentia,46.1,7.3
Muscardinus avellanarius,Mammalia,Muscardinus,Gliridae,Rodentia,27.3,5.3
Chaetodipus fallax,Mammalia,Chaetodipus,Heteromyidae,Rodentia,18.7,8.3
Chaetodipus formosus,Mammalia,Chaetodipus,Heteromyidae,Rodentia,19,7.1
Dipodomys deserti,Mammalia,Dipodomys,Heteromyidae,Rodentia,116,8.6
Dipodomys heermanni,Mammalia,Dipodomys,Heteromyidae,Rodentia,65,8.3
Dipodomys merriami,Mammalia,Dipodomys,Heteromyidae,Rodentia,42,9.7
Dipodomys ordii,Mammalia,Dipodomys,Heteromyidae,Rodentia,57,9.9
Dipodomys spectabilis,Mammalia,Dipodomys,Heteromyidae,Rodentia,145,12.7
Perognathus amplus,Mammalia,Perognathus,Heteromyidae,Rodentia,11.7,5.9
Perognathus longimembris,Mammalia,Perognathus,Heteromyidae,Rodentia,8,8.3
Perognathus parvus,Mammalia,Perognathus,Heteromyidae,Rodentia,20.1,5.8
Atherurus africanus,Mammalia,Atherurus,Hystricidae,Rodentia,2750,22.9
Hystrix africaeaustralis,Mammalia,Hystrix,Hystricidae,Rodentia,24000,23.1
Hystrix brachyura,Mammalia,Hystrix,Hystricidae,Rodentia,8000,27.3
Hystrix cristata,Mammalia,Hystrix,Hystricidae,Rodentia,20000,28
Hystrix indica,Mammalia,Hystrix,Hystricidae,Rodentia,20000,27.1
Acomys cahirinus,Mammalia,Acomys,Muridae,Rodentia,45.2,5.9
Acomys wilsoni,Mammalia,Acomys,Muridae,Rodentia,20,5.6
Apodemus argenteus,Mammalia,Apodemus,Muridae,Rodentia,23.4,5
Apodemus flavicollis,Mammalia,Apodemus,Muridae,Rodentia,29.4,4.5
Apodemus peninsulae,Mammalia,Apodemus,Muridae,Rodentia,32.9,4.4
Apodemus speciosus,Mammalia,Apodemus,Muridae,Rodentia,44,5.3
Apodemus sylvaticus,Mammalia,Apodemus,Muridae,Rodentia,23.4,6.3
Arvicanthis niloticus,Mammalia,Arvicanthis,Muridae,Rodentia,110,6.7
Chiropodomys gliroides,Mammalia,Chiropodomys,Muridae,Rodentia,29,3.6
Conilurus penicillatus,Mammalia,Conilurus,Muridae,Rodentia,144,4.5
Desmodillus auricularis,Mammalia,Desmodillus,Muridae,Rodentia,54.5,6.1
Dipodillus campestris,Mammalia,Dipodillus,Muridae,Rodentia,28.4,7.3
Gerbilliscus afra,Mammalia,Gerbilliscus,Muridae,Rodentia,74.8,5.7
Gerbilliscus validus,Mammalia,Gerbilliscus,Muridae,Rodentia,113,5
Gerbillus gerbillus,Mammalia,Gerbillus,Muridae,Rodentia,30,5.9
Gerbillus nanus,Mammalia,Gerbillus,Muridae,Rodentia,18.5,4.5
Gerbillus perpallidus,Mammalia,Gerbillus,Muridae,Rodentia,50,5.5
Gerbillus pyramidum,Mammalia,Gerbillus,Muridae,Rodentia,37,8.2
Grammomys dolichurus,Mammalia,Grammomys,Muridae,Rodentia,60,4.4
Hydromys chrysogaster,Mammalia,Hydromys,Muridae,Rodentia,850,7.3
Lemniscomys barbarus,Mammalia,Lemniscomys,Muridae,Rodentia,26.2,4.4
Lemniscomys striatus,Mammalia,Lemniscomys,Muridae,Rodentia,42.3,4.8
Leporillus conditor,Mammalia,Leporillus,Muridae,Rodentia,332.5,5.3
Meriones crassus,Mammalia,Meriones,Muridae,Rodentia,35,5.6
Meriones libycus,Mammalia,Meriones,Muridae,Rodentia,100,5.2
Meriones meridianus,Mammalia,Meriones,Muridae,Rodentia,53,6.8
Meriones persicus,Mammalia,Meriones,Muridae,Rodentia,100,6
Meriones unguiculatus,Mammalia,Meriones,Muridae,Rodentia,53.2,6.3
Meriones vinogradovi,Mammalia,Meriones,Muridae,Rodentia,150,6.7
Mesembriomys gouldii,Mammalia,Mesembriomys,Muridae,Rodentia,900,7.8
Mesembriomys macrurus,Mammalia,Mesembriomys,Muridae,Rodentia,268.5,7.1
Micaelamys namaquensis,Mammalia,Micaelamys,Muridae,Rodentia,47.6,4.7
Micromys minutus,Mammalia,Micromys,Muridae,Rodentia,6,3.8
Mus minutoides,Mammalia,Mus,Muridae,Rodentia,7.2,4.3
Mus musculus,Mammalia,Mus,Muridae,Rodentia,20.5,4
Mus spicilegus,Mammalia,Mus,Muridae,Rodentia,19.9,3.5
Notomys alexis,Mammalia,Notomys,Muridae,Rodentia,35,6.4
Notomys mitchellii,Mammalia,Notomys,Muridae,Rodentia,52,5.3
Pachyuromys duprasi,Mammalia,Pachyuromys,Muridae,Rodentia,40,8.3
Phloeomys cumingi,Mammalia,Phloeomys,Muridae,Rodentia,1750,13.6
Phloeomys pallidus,Mammalia,Phloeomys,Muridae,Rodentia,1744,10.7
Pogonomys macrourus,Mammalia,Pogonomys,Muridae,Rodentia,57,3.1
Praomys tullbergi,Mammalia,Praomys,Muridae,Rodentia,30,5.2
Psammomys obesus,Mammalia,Psammomys,Muridae,Rodentia,212,3.2
Pseudomys australis,Mammalia,Pseudomys,Muridae,Rodentia,65,7.9
Pseudomys chapmani,Mammalia,Pseudomys,Muridae,Rodentia,12,6.8
Pseudomys fumeus,Mammalia,Pseudomys,Muridae,Rodentia,70,6.5
Pseudomys laborifex,Mammalia,Pseudomys,Muridae,Rodentia,12,6.9
Pseudomys shortridgei,Mammalia,Pseudomys,Muridae,Rodentia,64,6
Rattus fuscipes,Mammalia,Rattus,Muridae,Rodentia,130,5.3
Rattus lutreolus,Mammalia,Rattus,Muridae,Rodentia,115,4.4
Rattus norvegicus,Mammalia,Rattus,Muridae,Rodentia,300,3.8
Rattus rattus,Mammalia,Rattus,Muridae,Rodentia,200,4.2
Rhabdomys pumilio,Mammalia,Rhabdomys,Muridae,Rodentia,51,4.5
Rhombomys opimus,Mammalia,Rhombomys,Muridae,Rodentia,285,4.5
Sekeetamys calurus,Mammalia,Sekeetamys,Muridae,Rodentia,65,7.3
Tatera indica,Mammalia,Tatera,Muridae,Rodentia,146.7,7
Zyzomys pedunculatus,Mammalia,Zyzomys,Muridae,Rodentia,100,7.5
Myocastor coypus,Mammalia,Myocastor,Myocastoridae,Rodentia,7850,19
Cricetomys emini,Mammalia,Cricetomys,Nesomyidae,Rodentia,1300,7.4
Cricetomys gambianus,Mammalia,Cricetomys,Nesomyidae,Rodentia,1500,8.4
Dendromus melanotis,Mammalia,Dendromus,Nesomyidae,Rodentia,7.4,4.2
Dendromus mesomelas,Mammalia,Dendromus,Nesomyidae,Rodentia,13,3.3
Hypogeomys antimena,Mammalia,Hypogeomys,Nesomyidae,Rodentia,1250,12.6
Mystromys albicaudatus,Mammalia,Mystromys,Nesomyidae,Rodentia,106,6.3
Saccostomus campestris,Mammalia,Saccostomus,Nesomyidae,Rodentia,47.4,4.5
Octodon degus,Mammalia,Octodon,Octodontidae,Rodentia,235,14
Spalacopus cyanus,Mammalia,Spalacopus,Octodontidae,Rodentia,98,10.8
Pedetes capensis,Mammalia,Pedetes,Pedetidae,Rodentia,3500,20
Ammospermophilus harrisii,Mammalia,Ammospermophilus,Sciuridae,Rodentia,126,10.6
Ammospermophilus leucurus,Mammalia,Ammospermophilus,Sciuridae,Rodentia,105,11.2
Callosciurus caniceps,Mammalia,Callosciurus,Sciuridae,Rodentia,257,13.7
Callosciurus erythraeus,Mammalia,Callosciurus,Sciuridae,Rodentia,272,17
Callosciurus notatus,Mammalia,Callosciurus,Sciuridae,Rodentia,190,14.8
Callosciurus prevostii,Mammalia,Callosciurus,Sciuridae,Rodentia,400,21.1
Callospermophilus lateralis,Mammalia,Callospermophilus,Sciuridae,Rodentia,157.6,10.4
Cynomys ludovicianus,Mammalia,Cynomys,Sciuridae,Rodentia,1125,15
Funisciurus anerythrus,Mammalia,Funisciurus,Sciuridae,Rodentia,218,10
Funisciurus pyrropus,Mammalia,Funisciurus,Sciuridae,Rodentia,271.7,9.5
Glaucomys sabrinus,Mammalia,Glaucomys,Sciuridae,Rodentia,149,14.2
Glaucomys volans,Mammalia,Glaucomys,Sciuridae,Rodentia,65.4,19
Heliosciurus rufobrachium,Mammalia,Heliosciurus,Sciuridae,Rodentia,326.5,8.7
Ictidomys tridecemlineatus,Mammalia,Ictidomys,Sciuridae,Rodentia,172.7,7.9
Marmota caligata,Mammalia,Marmota,Sciuridae,Rodentia,4300,12.1
Marmota flaviventris,Mammalia,Marmota,Sciuridae,Rodentia,3500,21.2
Marmota marmota,Mammalia,Marmota,Sciuridae,Rodentia,3500,17.4
Marmota monax,Mammalia,Marmota,Sciuridae,Rodentia,4000,14
Marmota vancouverensis,Mammalia,Marmota,Sciuridae,Rodentia,4750,12.1
Otospermophilus variegatus,Mammalia,Otospermophilus,Sciuridae,Rodentia,663,9.8
Petaurista alborufus,Mammalia,Petaurista,Sciuridae,Rodentia,1700,21.4
Petaurista leucogenys,Mammalia,Petaurista,Sciuridae,Rodentia,1650,19.2
Poliocitellus franklinii,Mammalia,Poliocitellus,Sciuridae,Rodentia,459,7.2
Pteromys volans,Mammalia,Pteromys,Sciuridae,Rodentia,130,11.4
Ratufa bicolor,Mammalia,Ratufa,Sciuridae,Rodentia,2000,19
Ratufa indica,Mammalia,Ratufa,Sciuridae,Rodentia,2000,20
Sciurus aureogaster,Mammalia,Sciurus,Sciuridae,Rodentia,600,11.5
Sciurus carolinensis,Mammalia,Sciurus,Sciuridae,Rodentia,533,23.6
Syntheosciurus granatensis,Mammalia,Syntheosciurus,Sciuridae,Rodentia,374,11.5
Sciurus niger,Mammalia,Sciurus,Sciuridae,Rodentia,800,16
Echinosciurus variegatoides,Mammalia,Echinosciurus,Sciuridae,Rodentia,485,15.1
Sciurus vulgaris,Mammalia,Sciurus,Sciuridae,Rodentia,600,14.8
Spermophilus citellus,Mammalia,Spermophilus,Sciuridae,Rodentia,217,6.7
Spermophilus pygmaeus,Mammalia,Spermophilus,Sciuridae,Rodentia,136,7.1
Sundasciurus hippurus,Mammalia,Sundasciurus,Sciuridae,Rodentia,312.5,14
Sundasciurus lowii,Mammalia,Sundasciurus,Sciuridae,Rodentia,67,11.1
Sundasciurus tenuis,Mammalia,Sundasciurus,Sciuridae,Rodentia,75,10
Tamias dorsalis,Mammalia,Tamias,Sciuridae,Rodentia,62.8,12.6
Tamias minimus,Mammalia,Tamias,Sciuridae,Rodentia,44.1,10
Tamias sibiricus,Mammalia,Tamias,Sciuridae,Rodentia,85,9.6
Tamias striatus,Mammalia,Tamias,Sciuridae,Rodentia,96,9.5
Tamias townsendii,Mammalia,Tamias,Sciuridae,Rodentia,75,9.3
Tamiasciurus hudsonicus,Mammalia,Tamiasciurus,Sciuridae,Rodentia,200,9.8
Xerospermophilus mohavensis,Mammalia,Xerospermophilus,Sciuridae,Rodentia,150,7.8
Xerospermophilus tereticaudus,Mammalia,Xerospermophilus,Sciuridae,Rodentia,163.3,8.9
Xerus erythropus,Mammalia,Xerus,Sciuridae,Rodentia,600,10.3
Xerus inauris,Mammalia,Xerus,Sciuridae,Rodentia,588,11.5
Cannomys badius,Mammalia,Cannomys,Spalacidae,Rodentia,650,4.8
Nannospalax ehrenbergi,Mammalia,Nannospalax,Spalacidae,Rodentia,160,20.2
Thryonomys swinderianus,Mammalia,Thryonomys,Thryonomyidae,Rodentia,6600,5.4
Tupaia belangeri,Mammalia,Tupaia,Tupaiidae,Scandentia,200,11.1
Tupaia glis,Mammalia,Tupaia,Tupaiidae,Scandentia,200,12.4
Tupaia minor,Mammalia,Tupaia,Tupaiidae,Scandentia,58.6,12.2
Tupaia tana,Mammalia,Tupaia,Tupaiidae,Scandentia,197.8,11.6
Urogale everetti,Mammalia,Urogale,Tupaiidae,Scandentia,350,11.5
Dugong dugon,Mammalia,Dugong,Dugongidae,Sirenia,360000,73
Trichechus inunguis,Mammalia,Trichechus,Trichechidae,Sirenia,480000,40
Trichechus manatus,Mammalia,Trichechus,Trichechidae,Sirenia,322000,69
Solenodon paradoxus,Mammalia,Solenodon,Solenodontidae,Eulipotyphla,1000,12.1
Blarina brevicauda,Mammalia,Blarina,Soricidae,Eulipotyphla,21.6,2.2
Blarina hylophaga,Mammalia,Blarina,Soricidae,Eulipotyphla,14.5,2.8
Crocidura flavescens,Mammalia,Crocidura,Soricidae,Eulipotyphla,45,2.2
Crocidura leucodon,Mammalia,Crocidura,Soricidae,Eulipotyphla,11,2.9
Crocidura russula,Mammalia,Crocidura,Soricidae,Eulipotyphla,11.6,4
Crocidura suaveolens,Mammalia,Crocidura,Soricidae,Eulipotyphla,7.7,2.8
Cryptotis parvus,Mammalia,Cryptotis,Soricidae,Eulipotyphla,4.5,3.5
Myosorex varius,Mammalia,Myosorex,Soricidae,Eulipotyphla,17.5,2.1
Neomys fodiens,Mammalia,Neomys,Soricidae,Eulipotyphla,15,3.1
Sorex araneus,Mammalia,Sorex,Soricidae,Eulipotyphla,9,3.2
Sorex caecutiens,Mammalia,Sorex,Soricidae,Eulipotyphla,5.4,3
Suncus etruscus,Mammalia,Suncus,Soricidae,Eulipotyphla,2.1,3.2
Suncus murinus,Mammalia,Suncus,Soricidae,Eulipotyphla,45.9,3.2
Condylura cristata,Mammalia,Condylura,Talpidae,Eulipotyphla,55.3,2.5
Mogera wogura,Mammalia,Mogera,Talpidae,Eulipotyphla,97,3.2
Scalopus aquaticus,Mammalia,Scalopus,Talpidae,Eulipotyphla,90,6.2
Orycteropus afer,Mammalia,Orycteropus,Orycteropodidae,Tubulidentata,60000,29.8
Subulo gouazoubira,Mammalia,Subulo,Cervidae,Artiodactyla,17000,14.8
Cervus albirostris,Mammalia,Cervus,Cervidae,Artiodactyla,135000,21.3
Leopardus colocola,Mammalia,Leopardus,Felidae,Carnivora,2950,19.6
Mustela eversmannii,Mammalia,Mustela,Mustelidae,Carnivora,1350,9.1
Lagothrix lagotricha,Mammalia,Lagothrix,Atelidae,Primates,7650,32
Scarturus elater,Mammalia,Scarturus,Dipodidae,Rodentia,58.7,5.2
Coendou mexicanus,Mammalia,Coendou,Erethizontidae,Rodentia,2000,16.7
Zyzomys palatalis,Mammalia,Zyzomys,Muridae,Rodentia,123,6.2
