taxon_species,taxon_class,taxon_genus,taxon_family,taxon_order,Adult mass (g),gestation length (days),maturity length (days),generation time (days)
Zapus hudsonius,Mammalia,Zapus,Dipodidae,Rodentia,18,19,61,80
Proechimys brevicauda,Mammalia,Proechimys,Echimyidae,Rodentia,285,64,148,212
Proechimys guairae,Mammalia,Proechimys,Echimyidae,Rodentia,400,64,85,149
Proechimys guyannensis,Mammalia,Proechimys,Echimyidae,Rodentia,356.5,64,148,212
Proechimys semispinosus,Mammalia,Proechimys,Echimyidae,Rodentia,500,64,146,210
Thrichomys apereoides,Mammalia,Thrichomys,Echimyidae,Rodentia,373.5,94,178,272
Coendou prehensilis,Mammalia,Coendou,Erethizontidae,Rodentia,3900,203,578,781
Geomys bursarius,Mammalia,Geomys,Geomyidae,Rodentia,176.7,51,91,142
Thomomys bottae,Mammalia,Thomomys,Geomyidae,Rodentia,115.5,19,319,338
Thomomys mazama,Mammalia,Thomomys,Geomyidae,Rodentia,75,30,394,424
Thomomys talpoides,Mammalia,Thomomys,Geomyidae,Rodentia,104,28,356,384
Eliomys melanurus,Mammalia,Eliomys,Gliridae,Rodentia,122.5,25,548,573
Eliomys quercinus,Mammalia,Eliomys,Gliridae,Rodentia,82.5,23,365,388
Glirulus japonicus,Mammalia,Glirulus,Gliridae,Rodentia,27,30,145,175
Glis glis,Mammalia,Glis,Gliridae,Rodentia,125,25,322,347
Muscardinus avellanarius,Mammalia,Muscardinus,Gliridae,Rodentia,27.3,23,335,358
Chaetodipus fallax,Mammalia,Chaetodipus,Heteromyidae,Rodentia,18.7,25,166,191
Chaetodipus formosus,Mammalia,Chaetodipus,Heteromyidae,Rodentia,19,28,365,393
Dipodomys deserti,Mammalia,Dipodomys,Heteromyidae,Rodentia,116,30,51,81
Dipodomys heermanni,Mammalia,Dipodomys,Heteromyidae,Rodentia,65,31,53,84
Dipodomys merriami,Mammalia,Dipodomys,Heteromyidae,Rodentia,42,28,102,130
Dipodomys nitratoides,Mammalia,Dipodomys,Heteromyidae,Rodentia,35.5,34,88,122
Dipodomys ordii,Mammalia,Dipodomys,Heteromyidae,Rodentia,57,29,61,90
Dipodomys spectabilis,Mammalia,Dipodomys,Heteromyidae,Rodentia,145,23,310,333
Perognathus flavescens,Mammalia,Perognathus,Heteromyidae,Rodentia,9,26,84,110
Perognathus longimembris,Mammalia,Perognathus,Heteromyidae,Rodentia,8,22,151,173
Perognathus parvus,Mammalia,Perognathus,Heteromyidae,Rodentia,20.1,24,100,124
Hystrix africaeaustralis,Mammalia,Hystrix,Hystricidae,Rodentia,24000,94,375,469
Acomys cahirinus,Mammalia,Acomys,Muridae,Rodentia,45.2,38,58,96
Acomys minous,Mammalia,Acomys,Muridae,Rodentia,62.5,38,58,96
Acomys russatus,Mammalia,Acomys,Muridae,Rodentia,54.4,34,91,125
Apodemus agrarius,Mammalia,Apodemus,Muridae,Rodentia,21.5,22,76,98
Apodemus argenteus,Mammalia,Apodemus,Muridae,Rodentia,23.4,23,61,84
Apodemus flavicollis,Mammalia,Apodemus,Muridae,Rodentia,29.4,26,52,78
Apodemus peninsulae,Mammalia,Apodemus,Muridae,Rodentia,32.9,26,51,77
Apodemus sylvaticus,Mammalia,Apodemus,Muridae,Rodentia,23.4,23,71,94
Arvicanthis niloticus,Mammalia,Arvicanthis,Muridae,Rodentia,110,22,45,67
Chiropodomys gliroides,Mammalia,Chiropodomys,Muridae,Rodentia,29,20,101,121
Gerbilliscus afra,Mammalia,Gerbilliscus,Muridae,Rodentia,74.8,23,152,175
Gerbilliscus validus,Mammalia,Gerbilliscus,Muridae,Rodentia,113,25,99,124
Gerbillus perpallidus,Mammalia,Gerbillus,Muridae,Rodentia,50,20,93,113
Gerbillus pyramidum,Mammalia,Gerbillus,Muridae,Rodentia,37,21,74,95
Grammomys dolichurus,Mammalia,Grammomys,Muridae,Rodentia,60,24,73,97
Hydromys chrysogaster,Mammalia,Hydromys,Muridae,Rodentia,850,36,163,199
Lemniscomys striatus,Mammalia,Lemniscomys,Muridae,Rodentia,42.3,25,168,193
Leporillus conditor,Mammalia,Leporillus,Muridae,Rodentia,332.5,38,227,265
Mastomys erythroleucus,Mammalia,Mastomys,Muridae,Rodentia,37.8,21,137,158
Meriones crassus,Mammalia,Meriones,Muridae,Rodentia,35,22,61,83
Meriones libycus,Mammalia,Meriones,Muridae,Rodentia,100,26,91,117
Meriones shawi,Mammalia,Meriones,Muridae,Rodentia,185,26,102,128
Meriones unguiculatus,Mammalia,Meriones,Muridae,Rodentia,53.2,25,43,68
Mesembriomys gouldii,Mammalia,Mesembriomys,Muridae,Rodentia,900,44,71,115
Micromys minutus,Mammalia,Micromys,Muridae,Rodentia,6,20,40,60
Mus caroli,Mammalia,Mus,Muridae,Rodentia,11.2,21,53,74
Mus minutoides,Mammalia,Mus,Muridae,Rodentia,7.2,20,60,80
Mus musculoides,Mammalia,Mus,Muridae,Rodentia,6,24,60,84
Mus musculus,Mammalia,Mus,Muridae,Rodentia,20.5,19,42,61
Mus spicilegus,Mammalia,Mus,Muridae,Rodentia,19.9,20,65,85
Notomys alexis,Mammalia,Notomys,Muridae,Rodentia,35,35,75,110
Notomys mitchellii,Mammalia,Notomys,Muridae,Rodentia,52,37,73,110
Otomys irroratus,Mammalia,Otomys,Muridae,Rodentia,146.8,40,82,122
Pachyuromys duprasi,Mammalia,Pachyuromys,Muridae,Rodentia,40,20,55,75
Praomys tullbergi,Mammalia,Praomys,Muridae,Rodentia,30,24,82,106
Psammomys obesus,Mammalia,Psammomys,Muridae,Rodentia,212,24,100,124
Pseudomys australis,Mammalia,Pseudomys,Muridae,Rodentia,65,31,145,176
Pseudomys higginsi,Mammalia,Pseudomys,Muridae,Rodentia,60.1,32,272,304
Rattus fuscipes,Mammalia,Rattus,Muridae,Rodentia,130,26,107,133
Rattus lutreolus,Mammalia,Rattus,Muridae,Rodentia,115,27,79,106
Rattus norvegicus,Mammalia,Rattus,Muridae,Rodentia,300,21,90,111
Rattus rattus,Mammalia,Rattus,Muridae,Rodentia,200,22,90,112
Rhabdomys pumilio,Mammalia,Rhabdomys,Muridae,Rodentia,51,25,42,67
Rhombomys opimus,Mammalia,Rhombomys,Muridae,Rodentia,285,28,105,133
Tatera indica,Mammalia,Tatera,Muridae,Rodentia,146.7,26,77,103
Taterillus gracilis,Mammalia,Taterillus,Muridae,Rodentia,51.9,26,91,117
Thallomys paedulcus,Mammalia,Thallomys,Muridae,Rodentia,80,26,109,135
Zyzomys argurus,Mammalia,Zyzomys,Muridae,Rodentia,50,30,155,185
Myocastor coypus,Mammalia,Myocastor,Myocastoridae,Rodentia,7850,131,152,283
Cricetomys emini,Mammalia,Cricetomys,Nesomyidae,Rodentia,1300,34,162,196
Cricetomys gambianus,Mammalia,Cricetomys,Nesomyidae,Rodentia,1500,34,158,192
Hypogeomys antimena,Mammalia,Hypogeomys,Nesomyidae,Rodentia,1250,120,730,850
Mystromys albicaudatus,Mammalia,Mystromys,Nesomyidae,Rodentia,106,38,109,147
Saccostomus campestris,Mammalia,Saccostomus,Nesomyidae,Rodentia,47.4,21,45,66
Octodon degus,Mammalia,Octodon,Octodontidae,Rodentia,235,90,182,272
Pedetes capensis,Mammalia,Pedetes,Pedetidae,Rodentia,3500,80,1034,1114
Ammospermophilus harrisii,Mammalia,Ammospermophilus,Sciuridae,Rodentia,126,30,319,349
Ammospermophilus leucurus,Mammalia,Ammospermophilus,Sciuridae,Rodentia,105,29,365,394
Ammospermophilus nelsoni,Mammalia,Ammospermophilus,Sciuridae,Rodentia,154.5,26,378,404
Callosciurus adamsi,Mammalia,Callosciurus,Sciuridae,Rodentia,134.5,48,414,462
Callosciurus notatus,Mammalia,Callosciurus,Sciuridae,Rodentia,190,48,414,462
Callospermophilus lateralis,Mammalia,Callospermophilus,Sciuridae,Rodentia,157.6,30,637,667
Callospermophilus saturatus,Mammalia,Callospermophilus,Sciuridae,Rodentia,275,28,335,363
Cynomys gunnisoni,Mammalia,Cynomys,Sciuridae,Rodentia,900,30,365,395
Cynomys ludovicianus,Mammalia,Cynomys,Sciuridae,Rodentia,1125,30,730,760
Funambulus pennantii,Mammalia,Funambulus,Sciuridae,Rodentia,147.7,40,234,274
Glaucomys sabrinus,Mammalia,Glaucomys,Sciuridae,Rodentia,149,40,210,250
Glaucomys volans,Mammalia,Glaucomys,Sciuridae,Rodentia,65.4,40,210,250
Ictidomys tridecemlineatus,Mammalia,Ictidomys,Sciuridae,Rodentia,172.7,28,354,382
Marmota bobak,Mammalia,Marmota,Sciuridae,Rodentia,7300,40,1095,1135
Marmota caligata,Mammalia,Marmota,Sciuridae,Rodentia,4300,29,908,937
Marmota flaviventris,Mammalia,Marmota,Sciuridae,Rodentia,3500,30,730,760
Marmota marmota,Mammalia,Marmota,Sciuridae,Rodentia,3500,35,730,765
Marmota monax,Mammalia,Marmota,Sciuridae,Rodentia,4000,32,548,580
Marmota vancouverensis,Mammalia,Marmota,Sciuridae,Rodentia,4750,30,1186,1216
Otospermophilus variegatus,Mammalia,Otospermophilus,Sciuridae,Rodentia,663,30,421,451
Paraxerus cepapi,Mammalia,Paraxerus,Sciuridae,Rodentia,216,57,185,242
Poliocitellus franklinii,Mammalia,Poliocitellus,Sciuridae,Rodentia,459,28,327,355
Ratufa bicolor,Mammalia,Ratufa,Sciuridae,Rodentia,2000,32,1078,1110
Sciurus aberti,Mammalia,Sciurus,Sciuridae,Rodentia,702.5,43,327,370
Sciurus carolinensis,Mammalia,Sciurus,Sciuridae,Rodentia,533,44,343,387
Hesperosciurus griseus,Mammalia,Hesperosciurus,Sciuridae,Rodentia,425,44,319,363
Sciurus lis,Mammalia,Sciurus,Sciuridae,Rodentia,264,38,300,338
Sciurus niger,Mammalia,Sciurus,Sciuridae,Rodentia,800,44,353,397
Sciurus vulgaris,Mammalia,Sciurus,Sciuridae,Rodentia,600,38,296,334
Spermophilus citellus,Mammalia,Spermophilus,Sciuridae,Rodentia,217,27,314,341
Tamias amoenus,Mammalia,Tamias,Sciuridae,Rodentia,48.2,30,365,395
Tamias minimus,Mammalia,Tamias,Sciuridae,Rodentia,44.1,30,365,395
Tamias quadrimaculatus,Mammalia,Tamias,Sciuridae,Rodentia,86.5,31,339,370
Tamias quadrivittatus,Mammalia,Tamias,Sciuridae,Rodentia,70,31,319,350
Tamias ruficaudus,Mammalia,Tamias,Sciuridae,Rodentia,75,31,335,366
Tamias sibiricus,Mammalia,Tamias,Sciuridae,Rodentia,85,35,350,385
Tamias striatus,Mammalia,Tamias,Sciuridae,Rodentia,96,31,187,218
Tamias townsendii,Mammalia,Tamias,Sciuridae,Rodentia,75,28,353,381
Tamiasciurus hudsonicus,Mammalia,Tamiasciurus,Sciuridae,Rodentia,200,37,342,379
Urocitellus beldingi,Mammalia,Urocitellus,Sciuridae,Rodentia,290,26,365,391
Urocitellus richardsonii,Mammalia,Urocitellus,Sciuridae,Rodentia,342.5,24,335,359
Xerospermophilus tereticaudus,Mammalia,Xerospermophilus,Sciuridae,Rodentia,163.3,28,325,353
Xerus erythropus,Mammalia,Xerus,Sciuridae,Rodentia,600,71,365,436
Xerus inauris,Mammalia,Xerus,Sciuridae,Rodentia,588,45,365,410
Tachyoryctes splendens,Mammalia,Tachyoryctes,Spalacidae,Rodentia,220,40,150,190
Thryonomys swinderianus,Mammalia,Thryonomys,Thryonomyidae,Rodentia,6600,155,365,520
Tupaia belangeri,Mammalia,Tupaia,Tupaiidae,Scandentia,200,46,122,168
Tupaia glis,Mammalia,Tupaia,Tupaiidae,Scandentia,200,46,90,136
Tupaia minor,Mammalia,Tupaia,Tupaiidae,Scandentia,58.6,50,61,111
Dugong dugon,Mammalia,Dugong,Dugongidae,Sirenia,360000,374,3470,3844
Trichechus inunguis,Mammalia,Trichechus,Trichechidae,Sirenia,480000,328,1096,1424
Trichechus manatus,Mammalia,Trichechus,Trichechidae,Sirenia,322000,335,1278,1613
Solenodon paradoxus,Mammalia,Solenodon,Solenodontidae,Eulipotyphla,1000,50,828,878
Blarina brevicauda,Mammalia,Blarina,Soricidae,Eulipotyphla,21.6,17,46,63
Blarina hylophaga,Mammalia,Blarina,Soricidae,Eulipotyphla,14.5,23,84,107
Crocidura leucodon,Mammalia,Crocidura,Soricidae,Eulipotyphla,11,30,95,125
Crocidura russula,Mammalia,Crocidura,Soricidae,Eulipotyphla,11.6,29,75,104
Crocidura suaveolens,Mammalia,Crocidura,Soricidae,Eulipotyphla,7.7,27,175,202
Cryptotis parvus,Mammalia,Cryptotis,Soricidae,Eulipotyphla,4.5,21,40,61
Neomys anomalus,Mammalia,Neomys,Soricidae,Eulipotyphla,15,26,106,132
Neomys fodiens,Mammalia,Neomys,Soricidae,Eulipotyphla,15,20,106,126
Sorex araneus,Mammalia,Sorex,Soricidae,Eulipotyphla,9,21,198,219
Sorex arcticus,Mammalia,Sorex,Soricidae,Eulipotyphla,8.2,17,365,382
Sorex cinereus,Mammalia,Sorex,Soricidae,Eulipotyphla,4.3,19,154,173
Sorex coronatus,Mammalia,Sorex,Soricidae,Eulipotyphla,9.6,23,319,342
Sorex fumeus,Mammalia,Sorex,Soricidae,Eulipotyphla,7.5,21,304,325
Sorex minutus,Mammalia,Sorex,Soricidae,Eulipotyphla,7.2,24,304,328
Sorex monticolus,Mammalia,Sorex,Soricidae,Eulipotyphla,6,20,365,385
Sorex ornatus,Mammalia,Sorex,Soricidae,Eulipotyphla,5.6,21,365,386
Sorex palustris,Mammalia,Sorex,Soricidae,Eulipotyphla,12,23,90,113
Sorex vagrans,Mammalia,Sorex,Soricidae,Eulipotyphla,7,20,417,437
Suncus etruscus,Mammalia,Suncus,Soricidae,Eulipotyphla,2.1,27,365,392
Suncus murinus,Mammalia,Suncus,Soricidae,Eulipotyphla,45.9,30,36,66
Condylura cristata,Mammalia,Condylura,Talpidae,Eulipotyphla,55.3,40,304,344
Galemys pyrenaicus,Mammalia,Galemys,Talpidae,Eulipotyphla,57.5,30,730,760
Parascalops breweri,Mammalia,Parascalops,Talpidae,Eulipotyphla,62.5,35,300,335
Scalopus aquaticus,Mammalia,Scalopus,Talpidae,Eulipotyphla,90,36,335,371
Talpa europaea,Mammalia,Talpa,Talpidae,Eulipotyphla,92.5,28,182,210
Orycteropus afer,Mammalia,Orycteropus,Orycteropodidae,Tubulidentata,60000,225,730,955
Subulo gouazoubira,Mammalia,Subulo,Cervidae,Artiodactyla,17000,212,395,607
Cervus albirostris,Mammalia,Cervus,Cervidae,Artiodactyla,135000,253,730,983
Mustela eversmannii,Mammalia,Mustela,Mustelidae,Carnivora,1350,36,319,355
Notamacropus parryi,Mammalia,Notamacropus,Macropodidae,Diprotodontia,16500,36,745,781
Lagothrix lagotricha,Mammalia,Lagothrix,Atelidae,Primates,7650,223,2555,2778
